Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBgn0036317	972	302	332	1133	427	497	490	472	473	578	597	609	536.46	478	595	1.239	0.309	2.882	0.0039542478695283	0.0268120223803248	0	0.0094	0.0063	0.0063	TRUE	NA
FBgn0061492	627	238	294	863	337	399	316	372	419	440	471	489	417.86	369	467	1.278	0.354	2.882	0.00395174282554328	0.0268120223803248	0	0.0108	0.0083	0.0083	TRUE	NA
FBgn0263213	34	0	0	159	2	0	17	0	0	81	3	0	16.83	6	28	4.747	2.247	2.878	0.00400456546629677	0.027091492131841	0.9503	0.1596	0.16	0.16	TRUE	NA
FBgn0085810	12	1	9	123	22	5	6	2	13	63	31	6	20.01	7	33	4.342	2.118	2.876	0.00402554387030748	0.0271807668363678	0.8283	0.135	0.2818	0.2818	TRUE	NA
FBgn0005585	37911	12294	15387	41007	17308	21223	19094	19213	21925	20911	24207	26013	21893.97	20077	23710	1.177	0.235	2.874	0.00405321587054919	0.0273377777371634	0.0055	0.0047	0.0048	0.0048	TRUE	NA
FBgn0035969	9	2	8	38	15	18	5	3	11	19	21	22	13.58	6	21	3.391	1.762	2.872	0.00408130043931134	0.0275064248475851	0	0.1967	0.1623	0.1623	TRUE	NA
FBgn0033809	491	204	208	636	257	369	247	319	296	324	359	452	333.09	287	378	1.318	0.399	2.869	0.00411483564591667	0.027703987886319	0.0064	0.0124	0.0107	0.0107	TRUE	NA
FBgn0034366	399	133	137	565	180	216	201	208	195	288	252	265	234.77	201	268	1.341	0.423	2.869	0.00411681880460754	0.027703987886319	0	0.0156	0.011	0.011	TRUE	NA
FBgn0265191	1076	357	298	1357	441	517	542	558	425	692	617	634	577.82	508	648	1.276	0.351	2.866	0.00416315702254085	0.0279761238657973	0.0091	0.009	0.0089	0.0089	TRUE	NA
FBgn0029521	149	57	51	291	77	90	75	89	73	148	108	110	100.53	79	122	1.573	0.653	2.865	0.00416866961397187	0.0279896388366683	0.0137	0.0305	0.0262	0.0262	TRUE	NA
FBgn0004390	4717	1713	1532	5281	2120	2546	2376	2677	2183	2693	2965	3121	2669.08	2412	2926	1.21	0.276	2.864	0.00418018893687786	0.0280248402449844	0.0078	0.0055	0.0063	0.0063	TRUE	NA
FBgn0043903	2806	1193	1212	3098	1685	1707	1413	1864	1727	1580	2357	2092	1838.9	1668	2010	1.195	0.257	2.86	0.00423481952101222	0.0283697961910271	0.0039	0.006	0.0052	0.0052	TRUE	NA
FBgn0030485	654	170	218	722	288	366	329	266	311	368	403	449	354.21	302	407	1.331	0.412	2.86	0.00423834170733495	0.0283721075311103	0.0118	0.0119	0.0119	0.0119	TRUE	NA
FBgn0025391	1134	113	107	1489	169	161	571	177	152	759	236	197	348.87	300	397	1.323	0.403	2.859	0.00424832511677287	0.0284176354253046	0	0.012	0.0098	0.0098	TRUE	NA
FBgn0033541	25	7	13	66	24	26	13	11	19	34	34	32	23.52	14	33	2.386	1.254	2.856	0.00428397711968312	0.0286092134149348	0	0.1155	0.0856	0.0856	TRUE	NA
FBgn0011742	4054	1286	1393	4871	1586	1897	2042	2010	1985	2484	2218	2325	2177.3	2012	2342	1.165	0.221	2.855	0.00430087089554115	0.0286831793108159	5e-04	0.0057	0.0038	0.0038	TRUE	NA
FBgn0051477	56	20	21	157	32	39	28	31	30	80	45	48	43.67	30	58	1.961	0.971	2.85	0.00437266324740738	0.029075117497653	0.032	0.0643	0.0555	0.0555	TRUE	NA
FBgn0262716	5674	1905	2248	6332	2575	2958	2858	2977	3203	3229	3601	3626	3249.02	3013	3485	1.155	0.208	2.847	0.00440712023983381	0.0292824283792529	5e-04	0.0053	0.0035	0.0035	TRUE	NA
FBgn0022893	29489	8869	10254	37131	11325	12715	14853	13861	14611	18935	15839	15585	15613.78	14442	16786	1.159	0.212	2.846	0.00443332211663524	0.0294346219342399	0.0033	0.0047	0.0039	0.0039	TRUE	NA
FBgn0260779	475	188	223	642	268	316	239	294	318	327	375	387	323.39	284	363	1.291	0.368	2.845	0.00444241201635698	0.0294730604056967	0	0.0126	0.0088	0.0088	TRUE	NA
FBgn0013685	10	3	0	124	2	6	5	5	0	63	3	7	13.85	3	24	5.793	2.534	2.843	0.00446410814569853	0.0295950153979866	0.7643	0.193	0.2753	0.2753	TRUE	NA
